Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
cream-036,RT Cream Big,,Cream001,1,0,5,10, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-037,Melasma Free Big,,Cream001,1,0,7.5,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-038,Y mycin-A,,Cream001,1,0,2.5,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-039,AN-2,,Cream001,1,0,7.5,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-040,Melasma cream small,,Cream001,1,0,4,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-041,Urea cream,,Cream001,1,0,8.5,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-042,M1 cream,,Cream001,1,0,3,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-043,Melasma Free new,,Cream001,1,0,6,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-044,BB complex,,Cream001,1,0,5,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-045,Eyes cream small,,Cream001,1,0,5,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-046,TVN big,,Cream001,1,0,5.5,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-047,B1 cream big,,Cream001,1,0,6,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
cream-048,MT cream,,Cream001,1,0,5,, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
